what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1521830982027
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1521830982027
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1521830982027
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1521830982027
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1521830982027
os,sysinfo,,,"win32",1521830982032
arch,sysinfo,,,"x86",1521830982032
ws,sysinfo,,,"win32",1521830982032
locale,sysinfo,,,"en_IN",1521830982032
processors,sysinfo,,,"1",1521830982032
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1521830982032
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1521830982032
java.specification.name,sysinfo,,,"Java Platform API Specification",1521830982032
java.specification.vendor,sysinfo,,,"Oracle Corporation",1521830982032
java.specification.version,sysinfo,,,"1.7",1521830982032
